ts_ms,cpu_pct,rss_kb
1775050598906,8.5,112896
1775050599968,9.9,112896
1775050601023,6.8,112896
1775050602080,14.2,112880
1775050603120,15.6,112880
1775050604217,6.6,112240
1775050605294,13.0,112240
1775050606343,16.0,112240
1775050607399,17.4,112272
1775050608459,9.4,112272
1775050609520,9.2,112272
1775050610582,18.3,112272
1775050611631,13.2,112272
1775050612685,9.0,112288
1775050613744,10.9,112288
1775050614800,10.2,112288
1775050615846,17.7,112352
1775050616894,18.8,112352
1775050617951,11.1,112352
1775050618997,12.6,112352
1775050620052,15.5,112352
1775050621101,17.2,112352
1775050622142,13.7,112352
1775050623189,13.7,112352
1775050624231,12.5,112352
1775050625280,12.1,112352
1775050626336,19.5,112352
1775050627386,11.3,112352
1775050628432,10.8,112352
1775050629490,11.1,112352
1775050630545,10.0,112352
1775050631591,14.4,112352
1775050632656,17.3,112352
1775050633715,17.0,112352
1775050634774,12.9,112352
1775050635824,14.3,112352
1775050636869,15.8,112352
1775050637939,13.2,112352
1775050638989,12.5,112352
1775050640034,11.7,112352
1775050641092,11.5,112352
1775050642147,11.9,112352
1775050643194,16.0,112352
1775050644246,12.5,112352
1775050645296,19.3,112352
1775050646342,17.0,112352
1775050647401,10.8,112352
1775050648456,8.4,112352
1775050649498,16.9,112352
1775050650554,12.5,112352
1775050651607,10.7,112352
1775050652654,12.4,112352
1775050653717,9.7,112352
1775050654766,14.3,112352
1775050655816,18.0,112352
1775050656876,10.6,112352
1775050657926,10.4,112352
1775050658988,9.5,112352
1775050660036,14.8,112352
1775050661084,15.2,112352
1775050662134,9.7,112352
1775050663186,12.4,112352
1775050664230,9.5,112352
1775050665278,17.0,112352
1775050666331,17.9,112352
1775050667384,6.3,112352
1775050668439,8.2,112352
1775050669497,6.6,112352
1775050670547,15.0,112336
1775050671605,18.6,112336
1775050672664,11.1,112336
1775050673725,9.3,112336
1775050674772,19.0,112336
1775050675829,18.0,112352
1775050676880,14.4,112352
1775050677925,11.0,112352
1775050678976,11.1,112352
1775050680022,15.8,112352
1775050681073,17.9,112336
1775050682111,10.8,112208
1775050683166,8.5,112224
1775050684217,9.1,112256
1775050685272,8.5,112256
1775050686328,16.3,112256
1775050687375,12.6,112256
1775050688428,8.3,112256
1775050689479,8.7,112256
1775050690530,8.8,112272
1775050691572,16.1,112272
1775050692628,18.4,112272
1775050693685,10.3,112272
1775050694749,7.6,112272
1775050695794,17.3,112272
1775050696835,18.1,112272
1775050697883,19.0,112272
1775050698951,8.7,112272
1775050700007,10.2,112272
1775050701066,20.8,112272
1775050702120,15.9,112272
1775050703164,13.4,112272
1775050704213,11.6,112256
1775050705257,14.2,112336
1775050706301,11.7,112336
1775050707355,14.5,112320
1775050708404,16.8,112320
1775050709450,14.0,112320
1775050710492,12.8,112320
1775050711538,10.7,112352
1775050712583,17.9,112352
1775050713623,14.8,112352
1775050714668,13.9,112352
1775050715728,13.6,112352
1775050716790,15.4,112352
1775050717844,12.2,112368
1775050718904,12.6,112368
1775050719963,16.2,112368
1775050721022,13.4,112368
1775050722068,12.8,112368
1775050723112,15.9,112368
1775050724157,9.9,112368
1775050725206,12.1,112368
1775050726260,16.2,112368
1775050727309,17.0,112368
1775050728366,13.1,112368
1775050729416,8.1,112368
1775050730481,15.3,112368
1775050731536,11.3,112368
1775050732595,15.7,112368
1775050733658,12.9,112368
1775050734713,9.7,112368
1775050735756,13.2,112368
1775050736799,15.7,112368
1775050737846,15.7,112368
1775050738896,10.8,112368
1775050739949,9.7,112368
1775050740994,15.5,112368
1775050742043,15.8,112368
1775050743091,18.5,112368
1775050744143,11.8,112368
1775050745199,7.5,112368
1775050746249,12.8,112368
